Categoria_App,Copertina,Titolo,Autore,Editore,Anno,Descrizione,Link,Nuovo
Altri Editori,https://www.ibs.it/images/9791281147607_0_0_150_0_75.jpg,Storia dell'isola d'Elba,Giuseppe Ninci,Persephone,2026,,https://www.ibs.it/storia-dell-isola-d-elba-libro-giuseppe-ninci/e/9791281147607,False
Altri Editori,https://www.ibs.it/images/9791256560875_0_0_150_0_75.jpg,Nome di battaglia Guastatore,Giovanni Corradin,Impremix Edizioni,2026,,https://www.ibs.it/nome-di-battaglia-guastatore-libro-giovanni-corradin/e/9791256560875,False
Altri Editori,https://www.ibs.it/images/9791255762904_0_0_150_0_75.jpg,La Riforma in Valpadana. Storia e documenti (1525-1545),Andrea Barbieri,Edizioni Artestampa,2026,,https://www.ibs.it/riforma-in-valpadana-storia-documenti-libro-andrea-barbieri/e/9791255762904,False
Altri Editori,https://www.ibs.it/images/9788891335548_0_0_150_0_75.jpg,"La collezione Banfi presso il castello di Poggio alle Mura a Montalcino (Si). Catalogo dei materiali archeologici dalle ex collezioni placidi, lovatelli e cambi. Ediz. italiana e inglese",Mattia Bischeri,L'Erma di Bretschneider,2026,,https://www.ibs.it/collezione-banfi-presso-castello-di-libro-mattia-bischeri/e/9788891335548,True
Altri Editori,https://www.ibs.it/images/9788854959231_0_0_150_0_75.jpg,Iscrizioni medievali latine e volgari delle province di Padova e Rovigo (secc. VI-XII),Franco Benucci,CLEUP,2026,,https://www.ibs.it/iscrizioni-medievali-latine-volgari-delle-libro-franco-benucci/e/9788854959231,False
Altri Editori,https://www.ibs.it/images/9788869856143_0_0_150_0_75.jpg,Storia universale del mondo,N/D,Libreria Geografica,2026,,https://www.ibs.it/storia-universale-del-mondo-libro-vari/e/9788869856143,False
Editori Selezionati,https://www.ibs.it/images/9791259972798_0_0_150_0_75.jpg,Il contributo ebraico all'editoria italiana dall'Unità alle leggi razziali,Arianna Leonetti,Ronzani Editore,2026,"La storia dell’editoria italiana è anche, in larga parte, storia di editori, stampatori, librai e intellettuali ebrei che hanno dato un contributo decisivo alla formazione della cultura moderna. Questo volume ripercorre per la prima volta in modo organico e corale la vicenda dell’editoria ebraica in Italia, dalle origini fino al secondo dopoguerra, intrecciando biografie familiari, imprese culturali, sfide politiche e persecuzioni. Il saggio restituisce un quadro ampio e articolato di un capitolo decisivo della nostra storia culturale, illuminando la centralità del mondo ebraico nella costruzione della cultura libraria nazionale in un periodo, tra l’Unità e, attraverso il fascismo, fino alle leggi razziali, cruciale per l’Italia e fondamentale per la storia dell’editoria. Attraverso i nomi più noti – Olschki, Treves, la Zanichelli di Enriques, Bemporad – e quelli meno conosciuti – Lattes, Voghera, Orvieto, la Casa Editrice Israel e le Messaggerie Italiane della famiglia Calabi – emergono le esperienze di famiglie ebraiche italiane nella formazione scolastica, nella diffusione scientifica e letteraria, nella circolazione dei saperi e nell’organizzazione delle reti distributive. Una ricognizione storica ampia che accanto alla vitalità e originalità di molte iniziative, indaga anche la dolorosa frattura imposta dalle leggi razziali, offrendo così nuovi e importanti strumenti per comprendere una stagione decisiva della storia editoriale italiana, restituendone la giusta complessità e profondità.",https://www.ibs.it/contributo-ebraico-all-editoria-italiana-libro-arianna-leonetti/e/9791259972798,True
Altri Editori,https://www.ibs.it/images/9788895561264_0_0_150_0_75.jpg,La restituzione della proprietà,Hilaire Belloc,Arca Edizioni,2026,,https://www.ibs.it/restituzione-della-proprieta-libro-hilaire-belloc/e/9788895561264,True
Altri Editori,https://www.ibs.it/images/9791298573918_0_0_150_0_75.jpg,La penna anonima del Fascismo. Pozzallo 1927-1943,Giuseppe Privitera,Martorina Editore,2026,,https://www.ibs.it/penna-anonima-del-fascismo-pozzallo-libro-giuseppe-privitera/e/9791298573918,False
Altri Editori,https://www.ibs.it/images/9791281694675_0_0_150_0_75.jpg,Araldica scolpita a Firenze. Santa Maria Novella,Roberto Ciabani,Edizioni Udom,2026,,https://www.ibs.it/araldica-scolpita-a-firenze-santa-libro-roberto-ciabani/e/9791281694675,False
Altri Editori,https://www.ibs.it/images/9788889486306_0_0_150_0_75.jpg,"Chiesa, proprietà e potere ad Alghero. Soppressione degli ordini religiosi e trasferimento delle proprietà rurali e urbane della Chiesa (1787-1855)",Stefano Campus,Panoramika Editrice,2026,,https://www.ibs.it/chiesa-proprieta-potere-ad-alghero-libro-stefano-campus/e/9788889486306,False
Altri Editori,https://www.ibs.it/images/9788855203586_0_0_150_0_75.jpg,Il futuro di ieri. Maestre e maestri del Miranese si raccontano,N/D,Cierre edizioni,2026,,https://www.ibs.it/futuro-di-ieri-maestre-maestri-libro-vari/e/9788855203586,True
Altri Editori,https://www.ibs.it/images/9788831430456_0_0_150_0_75.jpg,"Neve rosso sangue. Le memorie di un soldato tedesco sul fronte orientale, 1942-1945",Günter K. Koschorrek,ITALIA Storica Edizioni,2026,,https://www.ibs.it/neve-rosso-sangue-memorie-di-libro-gunter-k-koschorrek/e/9788831430456,True
Altri Editori,https://www.ibs.it/images/9791255431282_0_0_150_0_75.jpg,I cecchini del weekend. L'inchiesta sui safari umani a Sarajevo,Ezio Gavazzeni,PaperFIRST,2026,,https://www.ibs.it/cecchini-del-weekend-inchiesta-sui-libro-ezio-gavazzeni/e/9791255431282,False
Altri Editori,https://www.ibs.it/images/9788850339495_0_0_150_0_75.jpg,Propaganda. Creare consenso e manipolare le masse,Edward L. Bernays,Apogeo,2026,,https://www.ibs.it/propaganda-creare-consenso-manipolare-masse-libro-edward-l-bernays/e/9788850339495,False
Editori Selezionati,https://www.ibs.it/images/9788858159859_0_0_150_0_75.jpg,Carlos lo Sciacallo. Storia del più temuto terrorista internazionale,Valentine Lomellini,Laterza,2026,"Nel settembre 2021, Ilich Ramírez Sánchez – detto Carlos lo Sciacallo, uno dei terroristi internazionali più ricercati durante la Guerra fredda – è condannato all’ergastolo. Sembra essere la parola fine per la sua avventura criminale ma resta un dubbio: è stato lui il capo della rete globale del terrore manovrata dal Cremlino? Lo Sciacallo, infatti, è un giovane venezuelano che si trasferisce a Mosca nel 1968, viene espulso dall’università e crea un proprio gruppo terroristico, passando dalla militanza nel Fronte popolare per la liberazione della Palestina alla precoce adesione al jihadismo negli anni Settanta. Si dice che sia stato dietro a numerosi attentati in Europa, ma anche un killer inafferrabile capace di vendersi al miglior offerente. Di certo c’è che è stato in grado di costruire una propria rete di collaboratori e fiancheggiatori che gli ha permesso di sfuggire alle polizie di mezzo mondo e di compiere l’attacco terroristico forse più clamoroso di sempre: nel dicembre del 1975 rapì undici ministri del petrolio presso la sede dell’OPEC a Vienna, che poi dietro riscatto recapitò ai loro Paesi d’origine. In Italia si è a lungo vagheggiato sulla presenza di suoi uomini a Bologna nei giorni dell’attentato alla stazione del 1980, dove morirono 85 persone. Ma come è stato possibile che durante la Guerra fredda quest’uomo poliedrico e poliglotta, camaleontico e avventuriero, sia stato in grado di mettere in discussione l’ordine internazionale? Di quali appoggi ha potuto godere e cosa ci racconta del conflitto tra le superpotenze?",https://www.ibs.it/carlos-sciacallo-storia-del-piu-libro-valentine-lomellini/e/9788858159859,False
Altri Editori,https://www.ibs.it/images/9788839910783_0_0_150_0_75.jpg,Il nuovo Dio. Intelligenza artificiale e ricerca del senso religioso dell’essere umano,Claudia Paganini,Queriniana,2026,,https://www.ibs.it/nuovo-dio-intelligenza-artificiale-ricerca-libro-claudia-paganini/e/9788839910783,False
Altri Editori,https://www.ibs.it/images/9791259981196_0_0_150_0_75.jpg,Pensare l'odio. L'umano di fronte all'estremo,Orlando Paris,Luca Sossella Editore,2026,,https://www.ibs.it/pensare-odio-umano-di-fronte-libro-orlando-paris/e/9791259981196,False
Altri Editori,https://www.ibs.it/images/9791259793447_0_0_150_0_75.jpg,"Sfruttamento made in Italy. Dalle passerelle ai rider, lo schiavismo nascosto con cui conviviamo","Ivan Cimmarusti,Sara Monaci",People,2026,,https://www.ibs.it/sfruttamento-made-in-italy-dalle-libro-ivan-cimmarusti-sara-monaci/e/9791259793447,False
Editori Selezionati,https://www.ibs.it/images/9788806271855_0_0_150_0_75.jpg,Sulle donne,Susan Sontag,Einaudi,2026,"«Le idee più interessanti sono le eresie», scriveva Sontag, e i testi qui raccolti, i più importanti sulla condizione femminile pubblicati dall’autrice tra il 1972 e il 1975, ne sono la prova. Pagine seminali con le quali Sontag, come dice Benedetta Tobagi nella splendida prefazione, dimostra una capacità critica che combina «le qualità di una mente affilata e l’attitudine caratteriale a essere sempre e comunque una “scrittrice antagonistica, una scrittrice polemica”».",https://www.ibs.it/sulle-donne-libro-susan-sontag/e/9788806271855,False
Editori Selezionati,https://www.ibs.it/images/9788815396273_0_0_150_0_75.jpg,Il Mulino. Rivista trimestrale di cultura e di politica (2026). Vol. 1: Quali storie,N/D,Il Mulino,2026,,https://www.ibs.it/mulino-rivista-trimestrale-di-cultura-libro-vari/e/9788815396273,False
Altri Editori,https://www.ibs.it/images/9791281484504_0_0_150_0_75.jpg,Enrico Berlinguer,Davide Mattiello,Marotta e Cafiero,2026,,https://www.ibs.it/enrico-berlinguer-libro-davide-mattiello/e/9791281484504,False
Altri Editori,https://www.ibs.it/images/9791256154333_0_0_150_0_75.jpg,Nato. L'Alleanza Atlantica alla resa dei conti,Sevim Dagdelen,Meltemi,2026,,https://www.ibs.it/nato-alleanza-atlantica-alla-resa-libro-sevim-dagdelen/e/9791256154333,False
Altri Editori,https://www.ibs.it/images/9788892764521_0_0_150_0_75.jpg,Donne con lo zaino. Vite in esplorazione,"Patrizia D’Antonio,Raffaella Gambardella",Elliot,2026,,https://www.ibs.it/donne-con-zaino-vite-in-libro-patrizia-d-antonio-raffaella-gambardella/e/9788892764521,False
Altri Editori,https://www.ibs.it/images/9788872242988_0_0_150_0_75.jpg,Gli occhi di Gaza. Un diario dei 45 giorni che hanno cambiato per sempre il destino del popolo palestinese,Plestia Alaqad,Sonda,2026,,https://www.ibs.it/occhi-di-gaza-diario-dei-libro-plestia-alaqad/e/9788872242988,True
Altri Editori,https://www.ibs.it/images/9788859046042_0_0_150_0_75.jpg,Attività quotidiane con le persone anziane. Guida pratica per le RSA e il contesto domiciliare,"Valentina Busato,Chiara Cecchinato,Sara Girardello",Erickson,2026,,https://www.ibs.it/attivita-quotidiane-con-persone-anziane-libro-vari/e/9788859046042,False
Editori Selezionati,https://www.ibs.it/images/9788855228510_0_0_150_0_75.jpg,Europa plurale. Per una convivenza civile e democratica,N/D,Donzelli,2026,"Quale futuro è possibile per un'Europa caratterizzata oggi da differenze politiche, culturali, religiose che sono, al tempo stesso, fonte di ricchezza e di fragilità? I saggi raccolti nel volume partono da questa domanda, proponendo una riflessione critica sul presente e sul futuro possibile della nostra società: quello di una convivenza che non annulli le diversità, ma le riconosca come elemento costitutivo di uno spazio di convivenza. Il nostro sistema istituzionale è una garanzia di fronte a involuzioni razziste e integraliste. Tuttavia, non è esente – soprattutto da parte di individui e gruppi lasciati ai margini – da un'opposizione che assume il carattere di un rifiuto di regole, poteri, relazioni e consuetudini, in passato riconosciuti e accettati dalla maggioranza della popolazione. La reazione ai processi di modernizzazione ha, spesso, la forma del recupero di tradizioni usate in opposizione alla trasformazione in essere, combattuta in sé e non solo per i suoi possibili effetti negativi. In modo specifico, sembra accentuarsi la storica divaricazione tra laicità e religione, alla quale sono, in parte, legate le molteplici guerre che attraversano il mondo. La concezione democratica, fondata su regole e norme fondamentali, è criticata quale frutto di un processo culturale geograficamente e storicamente connotato. Il sistema di valori di riferimento, che non è lecito cambiare se non in circostanze e attraverso percorsi eccezionali, è messo in discussione proprio perché postula l'esistenza di simili valori. Il libro analizza differenze, dilemmi, tensioni e potenzialità del continente, invitando a ripensare i principî e le pratiche della cultura europea, indicando come la pluralità, lungi dall'essere un ostacolo, costituisca la condizione stessa di una società civile.",https://www.ibs.it/europa-plurale-per-convivenza-civile-libro-vari/e/9788855228510,False
Altri Editori,https://www.ibs.it/images/9788838949371_0_0_150_0_75.jpg,La prima volta che siamo stati bianchi,Maria Pace Ottieri,Sellerio Editore Palermo,2026,,https://www.ibs.it/prima-volta-che-siamo-stati-libro-maria-pace-ottieri/e/9788838949371,True
Altri Editori,https://www.ibs.it/images/9788836165711_0_0_150_0_75.jpg,I misteri della Genesi,Armando Savini,DIARKOS,2026,,https://www.ibs.it/misteri-della-genesi-libro-armando-savini/e/9788836165711,False
Editori Selezionati,https://www.ibs.it/images/9788832858570_0_0_150_0_75.jpg,Diritti digitali. Informatica giuridica per le nuove professioni. Nuova ediz.,Giovanni Ziccardi,Raffaello Cortina Editore,2026,"La progressiva integrazione delle tecnologie digitali nei contesti sociali, economici e istituzionali ha prodotto trasformazioni che investono anche il diritto e le sue professioni. Questa nuova edizione di Diritti digitali offre una riflessione sistematica sui principali snodi teorici e pratici del diritto nell’epoca dell’intelligenza artificiale. Il testo esplora i mutamenti paradigmatici che investono la funzione giuridica, la produzione normativa, l’amministrazione della giustizia e i diritti fondamentali, in un contesto sempre più caratterizzato da automazione, sorveglianza, profilazione e delega decisionale agli algoritmi. Temi come la regolazione dell’intelligenza artificiale, la cybersecurity, l’etica, i crimini informatici, il legal design, l’Internet delle cose, la governance dei dati e il diritto alla disconnessione vengono affrontati con uno sguardo critico e aggiornato, secondo una prospettiva che coniuga rigore metodologico, attenzione per la prassi e consapevolezza dei cambiamenti in atto.",https://www.ibs.it/diritti-digitali-informatica-giuridica-per-libro-giovanni-ziccardi/e/9788832858570,False
Altri Editori,https://www.ibs.it/images/9788831027922_0_0_150_0_75.jpg,Il mio corpo è la mia casa,Alberto Pellai,Salani,2026,,https://www.ibs.it/mio-corpo-mia-casa-libro-alberto-pellai/e/9788831027922,False
Altri Editori,https://www.ibs.it/images/9788828407751_0_0_150_0_75.jpg,Pedagogia interculturale e inclusione sociale,N/D,Scholé,2026,,https://www.ibs.it/pedagogia-interculturale-inclusione-sociale-libro-vari/e/9788828407751,False
Altri Editori,https://www.ibs.it/images/9788822923103_0_0_150_0_75.jpg,"Non solo la domenica. Interviste, commenti, reportage",Valentino Parlato,Quodlibet,2026,,https://www.ibs.it/non-solo-domenica-interviste-commenti-libro-valentino-parlato/e/9788822923103,False
Editori Selezionati,https://www.ibs.it/images/9788817200080_0_0_150_0_75.jpg,Attenti alle lesbiche!,Alison Bechdel,Rizzoli Lizard,2026,"Da qualche parte negli Stati Uniti, in una cittadina che somiglia molto a Minneapolis, vive un agguerrito gruppo di amiche. Sono docenti universitarie, assistenti sociali, commesse di libreria, contabili, avvocate radicali. E, attenzione, sono lesbiche! Si innamorano, si tradiscono, si confidano, fanno sesso e bisticciano, si impegnano in politica, nel volontariato, fanno carriera, si sostengono e si punzecchiano, crescono i propri figli, si sposano, invecchiano. Sono Mo, Lois, Ginger, Sparrow e le altre, le graffianti protagoniste di ""Attenti alle lesbiche!"", la selezione dei migliori episodi dell'irriverente serie realizzata da Alison Bechdel a partire dal 1983 e pubblicata su diversi magazine e giornali americani: ""Dykes to Watch Out For"", uno dei primi fumetti che ha osato parlare apertamente di unioni lesbo, sex toys e parità di diritti tra etero e omosessuali nella ""grande nazione"" americana. D'altronde, scrive Francesca Cavallo nella sua prefazione a questa edizione, leggere le strisce di Alison Bechdel ""è un atto politico. Un promemoria potente del fatto che le storie che raccontiamo - e il modo in cui le raccontiamo - contribuiscono a costruire il mondo in cui viviamo"".",https://www.ibs.it/attenti-alle-lesbiche-libro-alison-bechdel/e/9788817200080,False
Editori Selezionati,https://www.ibs.it/images/9788815395115_0_0_150_0_75.jpg,Donne in Polizia. Esperienze di avanguardia nell'Italia contemporanea,Rossella Selmini,Il Mulino,2026,"Sia in Italia che in altri paesi, le donne hanno fatto il loro ingresso nelle forze di polizia già da diversi decenni e la loro presenza è cresciuta in maniera costante. Tuttavia, la loro integrazione in un contesto professionale dove sopravvivono forme di segregazione di genere resta ancora limitata e imperfetta. Questo libro, unico nel contesto italiano, esplora le caratteristiche della presenza delle donne nelle forze di polizia attraverso i risultati di una ricerca qualitativa basata su interviste condotte con poliziotte tra il 2023 e il 2025. Le interviste vertono su vari ambiti del lavoro: dalla formazione allo sviluppo della carriera, dalla maternità allo stile di lavoro, alle relazioni interne ed esterne. Dalle storie emergono esperienze soddisfacenti, ma anche discriminazioni, ostilità e resistenze tipiche di un contesto organizzativo e di una cultura occupazionale che, seppure in trasformazione, rimangono prevalentemente maschili. La traiettoria professionale delle poliziotte si configura così come una negoziazione costante tra le aspettative di genere e quelle del ruolo professionale, in un'alternanza di assimilazione al modello maschile, ricerca dell'eguaglianza e preservazione della differenza.",https://www.ibs.it/donne-in-polizia-esperienze-di-libro-rossella-selmini/e/9788815395115,False
Editori Selezionati,https://www.ibs.it/images/9788815395085_0_0_150_0_75.jpg,Pochi bambini. Cinquant'anni di bassissima fecondità,"Gianpiero Dalla Zuanna,Asher Colombo",Il Mulino,2026,"Da oltre quarant'anni in Italia nascono pochi bambini: meno di 1,5 figli per donna, e meno del necessario per rinnovare le generazioni senza l'apporto delle migrazioni. Con Spagna e Grecia, il nostro paese è stato il primo a vivere questo fenomeno, che per durata non ha precedenti nella storia umana. Oggi il club della bassissima fecondità conta due miliardi di persone, più di un quarto dell'umanità, e molti altri paesi stanno seguendo il nostro esempio. Il libro esamina modi, cause e conseguenze della scarsa fecondità italiana in una prospettiva storica e internazionale. Fattori strutturali e culturali si intrecciano nel determinare l'esasperata prudenza delle coppie italiane nel decidere di avere un figlio (in più). Gli italiani considerano soave avere bambini, ma sono schiacciati dal peso della responsabilità e dai costi che i figli comportano. Alla luce di questi risultati, gli autori ragionano sulle possibili politiche amichevoli da mettere in campo per le giovani coppie e per le famiglie con figli.",https://www.ibs.it/pochi-bambini-cinquant-anni-di-libro-gianpiero-dalla-zuanna-asher-colombo/e/9788815395085,False
Editori Selezionati,https://www.ibs.it/images/9788806271350_0_0_150_0_75.jpg,La civiltà giudaico-cristiana è un'impostura?,Sophie Bessis,Einaudi,2026,"Per decenni il concetto di civiltà giudaico-cristiana ha dominato il discorso politico e mediatico in Occidente, presentato come il fondamento culturale dell’Europa e del Nord America. Ma che cosa si nasconde dietro questa espressione, divenuta un riferimento egemonico? Da tempo ormai vari attori internazionali se ne sono appropriati – Stati, movimenti politici e nazionalismi – per giustificare dinamiche di esclusione e narrazioni semplificate. Il sionismo, e poi lo Stato di Israele, fin dalla sua nascita, hanno avuto bisogno di affermare il proprio ancoraggio esclusivo all’Occidente, proclamandosi oggi come bastione avanzato della civiltà giudaico-cristiana di fronte al nemico arabomusulmano, mentre i nazionalismi arabi hanno visto in quest’espressione uno strumento comodo per negare la dimensione ebraica della storia dei propri Paesi.",https://www.ibs.it/civilta-giudaico-cristiana-impostura-libro-sophie-bessis/e/9788806271350,False
Editori Selezionati,https://www.ibs.it/images/9788804812487_0_0_150_0_75.jpg,Il costruttore. Le cinque lezioni di De Gasperi ai politici di oggi,Antonio Polito,Mondadori,2026,"Chi vuole rottamare, chi promette di asfaltare, chi minaccia di usare la ruspa. I politici dei nostri giorni amano distruggere. Ci fu invece un uomo, quando l'Italia era ancora un regno ma stava per diventare una repubblica, che si propose come «costruttore»: Alcide De Gasperi. In otto anni da presidente del Consiglio mandò via il re, difese l'integrità territoriale di un Paese sconfitto, ottenne i finanziamenti del Piano Marshall, portò Roma nel Patto atlantico e costruì l'embrione dell'Europa unita, promosse le grandi riforme sociali e avviò il miracolo economico. Invece di una rivoluzione, fece una democrazia. Quella in cui oggi viviamo.",https://www.ibs.it/costruttore-cinque-lezioni-di-de-libro-antonio-polito/e/9788804812487,False
Editori Selezionati,https://www.ibs.it/images/9788804778912_0_0_150_0_75.jpg,"La via dell'uomo superiore. Guida spirituale per amore, sesso, relazioni",David Deida,Mondadori,2026,"Nel 1997 David Deida ha pubblicato quello che sarebbe presto diventato uno dei libri sulla spiritualità e l'identità maschile più letti di sempre, La via dell'uomo superiore. Da allora la società è cambiata moltissimo; ciò che non è mutato sono le sfide con cui si misurano i maschi di tutte le età: il rapporto con le donne, la vita professionale, il desiderio sessuale, ma anche l'amore e la spiritualità. Per questo il classico di Deida rimane attuale e viene ora presentato anche ai lettori italiani in una edizione aggiornata. Mentre emergono nuovi stili di espressione sessuale, e i vecchi ruoli di maschi e femmine si stanno rapidamente dissolvendo, gli uomini riscoprono il proprio valore, nel contesto sociale e nelle relazioni intime. Un valore che non è più definito dal denaro, o dalla posizione, ma da qualcosa di assai più prezioso: la profondità della consapevolezza.",https://www.ibs.it/via-dell-uomo-superiore-guida-libro-david-deida/e/9788804778912,False
Altri Editori,https://www.ibs.it/images/9791282435024_0_0_150_0_75.jpg,Ragazzi che pensano troppo,Matt Richtel,Libreria Pienogiorno,2026,,https://www.ibs.it/ragazzi-che-pensano-troppo-libro-matt-richtel/e/9791282435024,True
Altri Editori,https://www.ibs.it/images/9791280447654_0_0_150_0_75.jpg,Semplicemente liberale,Antonio Martino,Liberilibri,2026,,https://www.ibs.it/semplicemente-liberale-libro-antonio-martino/e/9791280447654,False
Altri Editori,https://www.ibs.it/images/9791259991720_0_0_150_0_75.jpg,Voci di resistenza. Donne e diritti nell'era di Trump,Antonella Napoli,All Around,2026,,https://www.ibs.it/voci-di-resistenza-donne-diritti-libro-antonella-napoli/e/9791259991720,False
Altri Editori,https://www.ibs.it/images/9791256153763_0_0_150_0_75.jpg,Vite contaminate. Co-ricerca e azione politica nella lotta alla violenza ambientale,"Rosalba Altopiedi,Vittorio Martone",Meltemi,2026,,https://www.ibs.it/vite-contaminate-co-ricerca-azione-libro-rosalba-altopiedi-vittorio-martone/e/9791256153763,False
Altri Editori,https://www.ibs.it/images/9791255950516_0_0_150_0_75.jpg,Oltre l’algoritmo. Conoscere l'IA per non farsi travolgere,"Anna Ballatore,Laura Palazzani,Sergio Massironi",In Dialogo,2026,,https://www.ibs.it/oltre-algoritmo-conoscere-ia-per-libro-vari/e/9791255950516,False
Altri Editori,https://www.ibs.it/images/9791255411369_0_0_150_0_75.jpg,"The American club. La fabbrica della cultura statunitense, il vero soft power dell’occidente",Carlo Alberto Giusti,Paesi Edizioni,2026,,https://www.ibs.it/the-american-club-fabbrica-della-libro-carlo-alberto-giusti/e/9791255411369,False
Altri Editori,https://www.ibs.it/images/9791254963425_0_0_150_0_75.jpg,"Il sacrificio della donna come catarsi. Una «dea ex machina» tra mito, letteratura e realtà",Ilaria Calloni,Cesati,2026,,https://www.ibs.it/sacrificio-della-donna-come-catarsi-libro-ilaria-calloni/e/9791254963425,False
Altri Editori,https://www.ibs.it/images/9788893238229_0_0_150_0_75.jpg,Figli del secolo. Guzzanti vs De Benedetti,Paolo Guzzanti,Compagnia Editoriale Aliberti,2026,,https://www.ibs.it/figli-del-secolo-guzzanti-vs-libro-paolo-guzzanti/e/9788893238229,True
Editori Selezionati,https://www.ibs.it/images/9788892249592_0_0_150_0_75.jpg,I social sul lettino della psicologa,Stefania Raviola,San Paolo Edizioni,2026,"Non sempre i clienti di una psicoterapeuta sono persone: in questo caso, in terapia, si sono seduti i social media. Non certo per loro scelta ma per il desiderio dell’autrice di studiare il loro funzionamento, svelarne le dinamiche e approfondirne gli aspetti psicologici e comunicativi. Questo libro svela i meccanismi sottesi a questi strumenti in modo da conoscere, riconoscere e permettere di attuare una scelta consapevole e libera. Parallelamente invita a riflettere sulle dinamiche personali (sistemi di valori, bisogni intrinseci…) che a volte inconsapevolmente vengono compensati dal mondo digitale. Senza alcuna pretesa di fornire tutte le soluzioni (d’altra parte l’approccio psicoterapeutico non fornisce soluzioni pronte all’uso), invita a riattivare il senso critico e il pensiero personale che si costruisce, in modo sano, dal confronto con gli altri e con le varie fonti delle notizie e delle informazioni. Inoltre, permette di riflettere sull’uso cosciente e consapevole di internet, proprio per non sottomettersi, in modo acritico, alla valanga di informazioni da cui veniamo quotidianamente bombardati, ma rimanendo il più possibile liberi e padroni delle nostre opinioni.",https://www.ibs.it/social-sul-lettino-della-psicologa-libro-stefania-raviola/e/9788892249592,False
Editori Selezionati,https://www.ibs.it/images/9788869441714_0_0_150_0_75.jpg,L'animale umano. Perché non ci adattiamo alla natura,Markus Gabriel,Castelvecchi,2026,"Fin dai tempi più remoti, l’essere umano si interroga su chi o che cosa sia davvero. È soltanto un animale tra gli altri, oppure il coronamento della creazione? In questo libro lucido e provocatorio, Markus Gabriel affronta questa domanda fondamentale e invita a ripensare radicalmente il nostro posto nel mondo. Da millenni siamo tentati di considerarci padroni della natura. Secondo Gabriel, questa convinzione è un’illusione pericolosa. Per evitare l’estinzione della nostra specie, dobbiamo riconoscerci per ciò che siamo: esseri viventi vulnerabili, esposti a forze che non possiamo controllare né comprendere fino in fondo. L’essere umano è sì un animale, ma un animale capace di interrogarsi su se stesso, di attribuire senso alla propria esistenza e di assumersi una responsabilità morale verso il mondo che abita. Contro il mito del progresso illimitato e dell’emancipazione dalla natura, Gabriel propone un nuovo illuminismo fondato su un’«etica del non-sapere»: la consapevolezza che proprio il riconoscimento dei limiti della nostra conoscenza costituisce la condizione di un rapporto più giusto e sostenibile con l’ambiente. “L’animale umano” è una riflessione profonda e accessibile su ciò che siamo, su ciò che possiamo diventare e sul senso della nostra vita non come padroni della natura, ma come parte di essa. 9",https://www.ibs.it/animale-umano-perche-non-ci-libro-markus-gabriel/e/9788869441714,False
Altri Editori,https://www.ibs.it/images/9788867892174_0_0_150_0_75.jpg,"Una tradizione viva. Trasmissione, innovazione e speranza nelle comunità innu",Annalisa D’Orsi,CELID,2026,,https://www.ibs.it/tradizione-viva-trasmissione-innovazione-speranza-libro-annalisa-d-orsi/e/9788867892174,False
Altri Editori,https://www.ibs.it/images/9788867098767_0_0_150_0_75.jpg,Orizzonti di pedagogia interculturale. Dalla normativa scolastica agli approcci post-coloniali,N/D,Anicia (Roma),2026,,https://www.ibs.it/orizzonti-di-pedagogia-interculturale-dalla-libro-vari/e/9788867098767,False
Editori Selezionati,https://www.ibs.it/images/9788863448665_0_0_150_0_75.jpg,Sulle rive del grande fiume,Paola Sorge,Carabba,2026,,https://www.ibs.it/sulle-rive-del-grande-fiume-libro-paola-sorge/e/9788863448665,False
Altri Editori,https://www.ibs.it/images/9788859046035_0_0_150_0_75.jpg,Accompagnare la persona anziana alla fine della vita. Manuale pratico per operatori e caregiver,Elisa Mencacci,Erickson,2026,,https://www.ibs.it/accompagnare-persona-anziana-alla-fine-libro-elisa-mencacci/e/9788859046035,False
Altri Editori,https://www.ibs.it/images/9788822924667_0_0_150_0_75.jpg,"Scuole, una questione urbana","Cristina Renzoni,Paola Savoldi",Quodlibet,2026,,https://www.ibs.it/scuole-questione-urbana-libro-cristina-renzoni-paola-savoldi/e/9788822924667,False
Altri Editori,https://www.ibs.it/images/9782366774238_0_0_150_0_75.jpg,J. Robert Oppenheimer. L'homme derrière la bombe atomique,Chris McNab,Gremese Editore,2026,,https://www.ibs.it/j-robert-oppenheimer-homme-derriere-libro-chris-mcnab/e/9782366774238,False
Altri Editori,https://www.ibs.it/images/9788830154612_0_0_150_0_75.jpg,Scimmia sapiens. Lettera a un adolescente sull'intelligenza artificiale,Marco Malvaldi,Bompiani,2026,,https://www.ibs.it/scimmia-sapiens-lettera-a-adolescente-libro-marco-malvaldi/e/9788830154612,True
